Date of Sighting,Latitude of Sighting,Longitude of Sighting,Nearest Approximate City,US State,Notes about the sighting,Time of Day,Tag of Apparition,Image Link
2025-03-06,33.120837,-86.674218,Birmingham,Alabama,Phantom footsteps heard in empty hallway.,Night,Orbs,
2023-11-28,27.802074,-82.614501,Tampa,Florida,Scent of old perfume noticed with no source.,Evening,White Lady,
2022-05-16,33.328267,-86.823102,Birmingham,Alabama,Apparition seen floating near old church grounds.,Night,Headless Spirit,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2022-02-20,40.68232,-89.536297,Peoria,Illinois,Apparition seen floating near old church grounds.,Midnight,Phantom Sounds,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2024-07-29,28.614108,-81.503183,Orlando,Florida,Local dog barking frantically before sighting.,Dawn,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2024-06-01,40.717497,-89.522442,Peoria,Illinois,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2022-01-08,30.173031,-97.737155,Austin,Texas,Apparition matched description of local legend.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_2.png
2024-08-20,41.417724,-89.692063,Peoria,Illinois,Witness reported cold spots and flickering lights.,Night,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_1.png
2025-09-08,38.649113,-90.210994,St. Louis,Missouri,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2023-01-19,28.206818,-82.420287,Tampa,Florida,Temperature dropped suddenly by 10°F.,Morning,Phantom Sounds,
2024-11-11,29.550823,-95.899988,Houston,Texas,Figure disappeared upon approach.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_0.png
2021-07-05,30.05182,-90.030456,New Orleans,Louisiana,Glowing orb photographed in backyard.,Dawn,Orbs,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_0.png
2021-08-27,41.701342,-87.478008,Chicago,Illinois,Apparition matched description of local legend.,Evening,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_3.png
2022-02-09,30.071944,-89.888139,New Orleans,Louisiana,Old radio emitted static and a faint melody.,Night,White Lady,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2024-10-20,33.240386,-87.339464,Birmingham,Alabama,Glowing orb photographed in backyard.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2024-08-13,25.703892,-80.157409,Miami,Florida,Witness reported cold spots and flickering lights.,Midnight,Headless Spirit,
2023-06-23,32.718444,-96.941688,Dallas,Texas,Glowing orb photographed in backyard.,Dawn,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2021-08-28,36.464884,-115.38788,Las Vegas,Nevada,Apparition seen floating near old church grounds.,Evening,Poltergeist,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_2.png
2025-06-03,40.122156,-75.766556,Philadelphia,Pennsylvania,Phantom footsteps heard in empty hallway.,Night,Phantom Sounds,
2025-03-01,43.215207,-88.100788,Milwaukee,Wisconsin,Phantom footsteps heard in empty hallway.,Dawn,White Lady,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_1.png
2023-08-22,32.825535,-96.73351,Dallas,Texas,Disembodied voice whispered a name.,Afternoon,Headless Spirit,
2021-07-16,40.803065,-89.085586,Peoria,Illinois,Witness captured blurry image on phone.,Dawn,Orbs,
2024-03-12,29.798901,-95.278992,Houston,Texas,Phantom footsteps heard in empty hallway.,Night,Orbs,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2023-01-20,38.447376,-89.829936,St. Louis,Missouri,Figure disappeared upon approach.,Afternoon,Shadow Figure,
2025-06-04,30.115788,-97.629764,Austin,Texas,Temperature dropped suddenly by 10°F.,Afternoon,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2025-01-21,40.034295,-83.061979,Columbus,Ohio,Apparition seen floating near old church grounds.,Evening,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_3.png
2023-12-06,36.85056,-115.176661,Las Vegas,Nevada,Flickering streetlamp coincided with sighting.,Midnight,Poltergeist,
2021-11-06,41.470375,-87.898905,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Evening,Full-Body Apparition,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2021-03-02,38.826183,-90.021821,St. Louis,Missouri,Figure disappeared upon approach.,Evening,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2022-11-12,28.493541,-81.429901,Orlando,Florida,Temperature dropped suddenly by 10°F.,Night,White Lady,
2024-06-25,28.55735,-81.440697,Orlando,Florida,Phantom footsteps heard in empty hallway.,Dawn,Phantom Sounds,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2025-08-05,41.690741,-81.735233,Cleveland,Ohio,Apparition matched description of local legend.,Midnight,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_0.png
2023-09-30,25.938145,-80.408565,Miami,Florida,Electronic devices malfunctioned during sighting.,Morning,Orbs,
2022-09-28,41.907109,-87.727967,Chicago,Illinois,Scent of old perfume noticed with no source.,Morning,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2023-10-08,39.554316,-85.876566,Indianapolis,Indiana,Phantom footsteps heard in empty hallway.,Evening,White Lady,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_2.png
2022-11-25,32.894737,-96.964517,Dallas,Texas,Witness captured blurry image on phone.,Morning,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2022-10-20,41.726812,-87.490308,Chicago,Illinois,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2020-10-04,30.628709,-88.862133,Gulfport,Mississippi,Scent of old perfume noticed with no source.,Morning,Headless Spirit,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2022-02-24,40.821285,-89.53437,Peoria,Illinois,Witness reported cold spots and flickering lights.,Night,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2021-05-16,40.794752,-90.146441,Peoria,Illinois,Curtains moved though windows were shut.,Night,Orbs,
2023-04-10,41.6537,-81.943183,Cleveland,Ohio,Local dog barking frantically before sighting.,Morning,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2021-09-07,40.088842,-82.869986,Columbus,Ohio,Apparition matched description of local legend.,Afternoon,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2023-12-26,25.785229,-79.907854,Miami,Florida,Apparition matched description of local legend.,Morning,White Lady,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2022-12-24,38.83462,-90.221936,St. Louis,Missouri,Witness captured blurry image on phone.,Morning,Full-Body Apparition,
2024-04-25,38.353575,-90.247343,St. Louis,Missouri,Glowing orb photographed in backyard.,Afternoon,Poltergeist,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2021-03-11,29.839166,-90.150376,New Orleans,Louisiana,Local dog barking frantically before sighting.,Dawn,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2022-06-11,38.393814,-90.403088,St. Louis,Missouri,Apparition matched description of local legend.,Afternoon,Headless Spirit,
2024-08-19,39.837007,-104.791213,Denver,Colorado,Witness reported cold spots and flickering lights.,Midnight,Poltergeist,
2024-04-27,45.019372,-93.405879,Minneapolis,Minnesota,Witness reported cold spots and flickering lights.,Morning,Phantom Sounds,
2022-09-15,32.43785,-90.107033,Jackson,Mississippi,Apparition seen floating near old church grounds.,Morning,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2024-07-30,29.6212,-98.528875,San Antonio,Texas,Electronic devices malfunctioned during sighting.,Dawn,Poltergeist,
2023-10-26,40.176776,-82.798469,Columbus,Ohio,Local dog barking frantically before sighting.,Midnight,White Lady,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_0.png
2023-01-25,39.86915,-75.503638,Philadelphia,Pennsylvania,Curtains moved though windows were shut.,Afternoon,White Lady,
2021-05-16,41.881892,-87.786693,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Midnight,Shadow Figure,
2024-04-30,29.99786,-88.634934,Gulfport,Mississippi,Witness reported cold spots and flickering lights.,Night,Poltergeist,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_3.png
2021-04-27,28.569362,-81.114475,Orlando,Florida,Temperature dropped suddenly by 10°F.,Midnight,Full-Body Apparition,
2021-06-27,29.487825,-98.191516,San Antonio,Texas,Curtains moved though windows were shut.,Midnight,Headless Spirit,
2022-05-26,44.856154,-92.992922,Minneapolis,Minnesota,Witness captured blurry image on phone.,Morning,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_0.png
2024-11-17,36.091955,-115.397576,Las Vegas,Nevada,Curtains moved though windows were shut.,Dawn,Poltergeist,
2021-09-06,29.991558,-89.073933,Gulfport,Mississippi,Scent of old perfume noticed with no source.,Evening,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2020-10-05,41.313345,-96.130276,Omaha,Nebraska,Scent of old perfume noticed with no source.,Morning,Headless Spirit,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2022-10-16,39.863356,-82.923319,Columbus,Ohio,Electronic devices malfunctioned during sighting.,Midnight,Shadow Figure,
2021-09-22,29.737512,-95.191727,Houston,Texas,Old radio emitted static and a faint melody.,Afternoon,Phantom Sounds,
2023-06-02,29.841516,-95.299792,Houston,Texas,Witness captured blurry image on phone.,Dawn,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2024-04-26,39.721972,-85.650758,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Morning,Shadow Figure,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2024-11-22,41.960516,-93.61845,Des Moines,Iowa,Electronic devices malfunctioned during sighting.,Night,Headless Spirit,
2024-09-24,41.940074,-87.405872,Chicago,Illinois,Witness reported cold spots and flickering lights.,Night,Headless Spirit,
2020-09-29,28.468636,-81.377541,Orlando,Florida,Disembodied voice whispered a name.,Night,Shadow Figure,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2023-02-04,26.399624,-80.397926,Miami,Florida,Disembodied voice whispered a name.,Evening,Shadow Figure,
2023-09-25,45.12527,-92.99574,Minneapolis,Minnesota,Phantom footsteps heard in empty hallway.,Night,Headless Spirit,
2023-11-01,38.500669,-89.915993,St. Louis,Missouri,Curtains moved though windows were shut.,Night,Orbs,
2020-12-13,33.634154,-86.675825,Birmingham,Alabama,Scent of old perfume noticed with no source.,Morning,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2023-10-17,33.665277,-87.08856,Birmingham,Alabama,Curtains moved though windows were shut.,Afternoon,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2024-03-04,30.270821,-90.023924,New Orleans,Louisiana,Glowing orb photographed in backyard.,Dawn,White Lady,
2020-12-02,39.913547,-85.86917,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Night,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2022-04-05,30.656305,-88.26095,Mobile,Alabama,Temperature dropped suddenly by 10°F.,Afternoon,Full-Body Apparition,
2025-01-02,39.66292,-85.732762,Indianapolis,Indiana,Glowing orb photographed in backyard.,Dawn,Poltergeist,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_0.png
2025-07-11,29.84383,-95.302725,Houston,Texas,Figure disappeared upon approach.,Afternoon,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-09-03,29.677395,-95.60835,Houston,Texas,Figure disappeared upon approach.,Midnight,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2021-10-14,32.661798,-96.835369,Dallas,Texas,Scent of old perfume noticed with no source.,Dawn,Full-Body Apparition,
2021-05-27,28.52457,-81.288207,Orlando,Florida,Witness captured blurry image on phone.,Dawn,Headless Spirit,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_2.png
2021-06-25,41.771344,-86.985074,Chicago,Illinois,Local dog barking frantically before sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/315d8dd8-0ac0-4935-9e0e-39cd7f4a0c00/0_3.png
2021-05-05,41.668754,-87.726405,Chicago,Illinois,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,
2022-08-31,32.626751,-96.877385,Dallas,Texas,Temperature dropped suddenly by 10°F.,Night,Poltergeist,
2023-11-21,40.738167,-89.434577,Peoria,Illinois,Witness reported cold spots and flickering lights.,Midnight,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2025-08-03,34.093879,-118.321564,Los Angeles,California,Temperature dropped suddenly by 10°F.,Evening,Phantom Sounds,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2021-12-26,29.9804,-90.589361,New Orleans,Louisiana,Glowing orb photographed in backyard.,Midnight,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2023-03-27,32.779299,-96.726175,Dallas,Texas,Temperature dropped suddenly by 10°F.,Midnight,Orbs,
2025-05-27,39.825101,-85.581187,Indianapolis,Indiana,Flickering streetlamp coincided with sighting.,Midnight,Poltergeist,
2023-10-30,33.112704,-96.972626,Dallas,Texas,Apparition matched description of local legend.,Dawn,White Lady,
2022-04-14,41.645338,-87.702265,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Morning,Full-Body Apparition,
2020-12-28,38.603921,-90.006457,St. Louis,Missouri,Curtains moved though windows were shut.,Afternoon,Orbs,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_3.png
2023-02-19,39.691088,-86.098682,Indianapolis,Indiana,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,https://cdn.midjourney.com/d442d607-bfd7-4012-990c-fff219d116fc/0_2.png
2022-03-22,29.746948,-95.314829,Houston,Texas,Witness reported cold spots and flickering lights.,Evening,Headless Spirit,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2024-02-05,29.875911,-95.261465,Houston,Texas,Curtains moved though windows were shut.,Dawn,Full-Body Apparition,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2022-12-29,45.022068,-93.089075,Minneapolis,Minnesota,Old radio emitted static and a faint melody.,Midnight,White Lady,
2023-03-21,33.724122,-86.780928,Birmingham,Alabama,Old radio emitted static and a faint melody.,Morning,Shadow Figure,
2020-11-26,41.530376,-81.568809,Cleveland,Ohio,Witness reported cold spots and flickering lights.,Evening,White Lady,
2023-02-09,40.683996,-89.748209,Peoria,Illinois,Witness reported cold spots and flickering lights.,Evening,Orbs,
2022-11-27,32.659436,-96.749547,Dallas,Texas,Witness reported cold spots and flickering lights.,Dawn,Poltergeist,
2024-10-19,41.475852,-95.975113,Omaha,Nebraska,Scent of old perfume noticed with no source.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_3.png
2025-09-06,41.377438,-92.265064,Des Moines,Iowa,Glowing orb photographed in backyard.,Afternoon,Poltergeist,
2022-11-19,40.719325,-89.408391,Peoria,Illinois,Figure disappeared upon approach.,Midnight,Headless Spirit,
2025-07-25,32.208428,-90.223203,Jackson,Mississippi,Curtains moved though windows were shut.,Night,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2023-12-05,33.04116,-96.624564,Dallas,Texas,Witness captured blurry image on phone.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2022-01-10,41.221819,-81.834215,Cleveland,Ohio,Temperature dropped suddenly by 10°F.,Evening,Full-Body Apparition,
2022-11-18,29.933606,-90.204422,New Orleans,Louisiana,Temperature dropped suddenly by 10°F.,Morning,Headless Spirit,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2025-09-05,41.991866,-87.163219,Chicago,Illinois,Flickering streetlamp coincided with sighting.,Afternoon,Full-Body Apparition,
2022-02-21,29.412592,-95.558514,Houston,Texas,Scent of old perfume noticed with no source.,Afternoon,Shadow Figure,
2022-03-30,30.279254,-97.860004,Austin,Texas,Apparition matched description of local legend.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/3cf03f49-9828-4ae6-ad23-27e54684740e/0_3.png
2021-12-30,38.742692,-90.127973,St. Louis,Missouri,Witness reported cold spots and flickering lights.,Night,Headless Spirit,
2021-01-10,39.938813,-86.56014,Indianapolis,Indiana,Flickering streetlamp coincided with sighting.,Afternoon,Headless Spirit,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_2.png
2022-05-28,41.695714,-81.408611,Cleveland,Ohio,Apparition matched description of local legend.,Morning,Orbs,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2023-01-14,33.408009,-87.001257,Birmingham,Alabama,Apparition seen floating near old church grounds.,Evening,Poltergeist,
2021-10-19,33.552531,-86.387325,Birmingham,Alabama,Phantom footsteps heard in empty hallway.,Dawn,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2023-05-14,32.474472,-90.332552,Jackson,Mississippi,Apparition seen floating near old church grounds.,Night,Shadow Figure,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2021-01-20,41.677939,-93.300366,Des Moines,Iowa,Glowing orb photographed in backyard.,Evening,White Lady,https://cdn.midjourney.com/9ebab934-da2d-4041-90c2-dc375e3728da/0_3.png
2023-09-20,40.649796,-89.591507,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Evening,Headless Spirit,
2022-02-15,36.207527,-115.026291,Las Vegas,Nevada,Local dog barking frantically before sighting.,Afternoon,Full-Body Apparition,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2020-10-29,39.962205,-83.273601,Columbus,Ohio,Glowing orb photographed in backyard.,Dawn,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2023-12-30,29.291115,-98.633918,San Antonio,Texas,Disembodied voice whispered a name.,Evening,Shadow Figure,https://cdn.midjourney.com/f4eb59bf-e6a9-47f8-9a00-769309f0403b/0_2.png
2022-08-28,41.698279,-87.771206,Chicago,Illinois,Disembodied voice whispered a name.,Afternoon,Shadow Figure,
2022-03-31,33.592605,-86.665147,Birmingham,Alabama,Apparition seen floating near old church grounds.,Morning,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2025-07-04,30.116246,-97.667265,Austin,Texas,Figure disappeared upon approach.,Evening,Phantom Sounds,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2025-09-11,25.855004,-79.973427,Miami,Florida,Witness reported cold spots and flickering lights.,Night,White Lady,
2025-06-13,29.883579,-90.181107,New Orleans,Louisiana,Disembodied voice whispered a name.,Afternoon,Phantom Sounds,
2023-02-15,42.079712,-87.204764,Chicago,Illinois,Curtains moved though windows were shut.,Morning,Full-Body Apparition,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_0.png
2025-04-23,39.611306,-86.159475,Indianapolis,Indiana,Glowing orb photographed in backyard.,Night,Orbs,
2024-12-10,40.940716,-89.547792,Peoria,Illinois,Electronic devices malfunctioned during sighting.,Morning,Phantom Sounds,
2021-12-02,42.095669,-87.856788,Chicago,Illinois,Scent of old perfume noticed with no source.,Night,Full-Body Apparition,
2024-01-24,40.733202,-89.242501,Peoria,Illinois,Disembodied voice whispered a name.,Dawn,Orbs,https://cdn.midjourney.com/c8b325d2-ed83-40b4-8825-34f61c53d744/0_2.png
2021-08-04,40.080347,-82.979544,Columbus,Ohio,Curtains moved though windows were shut.,Afternoon,Shadow Figure,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_1.png
2024-07-13,29.529299,-95.750725,Houston,Texas,Temperature dropped suddenly by 10°F.,Evening,Orbs,
2020-09-28,41.181854,-89.963587,Peoria,Illinois,Local dog barking frantically before sighting.,Night,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2022-07-01,41.630762,-87.854746,Chicago,Illinois,Witness captured blurry image on phone.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2025-08-22,41.530757,-81.612867,Cleveland,Ohio,Witness captured blurry image on phone.,Evening,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
2025-05-23,43.332801,-87.884208,Milwaukee,Wisconsin,Apparition seen floating near old church grounds.,Night,Orbs,
2022-02-12,38.653326,-90.248044,St. Louis,Missouri,Apparition seen floating near old church grounds.,Night,Headless Spirit,
2023-05-03,28.752952,-81.142256,Orlando,Florida,Figure disappeared upon approach.,Evening,Headless Spirit,
2025-01-30,41.851825,-88.093649,Chicago,Illinois,Phantom footsteps heard in empty hallway.,Morning,Shadow Figure,https://cdn.midjourney.com/ffba09ea-d1b0-419a-8a75-4d7e5a9770d2/0_3.png
2025-01-18,39.875935,-86.192402,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Midnight,Orbs,
2022-03-30,29.854188,-89.773467,New Orleans,Louisiana,Flickering streetlamp coincided with sighting.,Evening,Phantom Sounds,https://cdn.midjourney.com/90895f4f-c3a6-4faf-b2ee-b7a9ec71d9cd/0_1.png
2023-11-08,40.605652,-74.060577,New York,New York,Curtains moved though windows were shut.,Morning,Poltergeist,
2024-08-01,28.685314,-81.303646,Orlando,Florida,Witness reported cold spots and flickering lights.,Evening,Phantom Sounds,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_3.png
2024-12-27,40.618347,-89.60153,Peoria,Illinois,Apparition matched description of local legend.,Night,Shadow Figure,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_2.png
2021-05-08,29.897645,-90.037523,New Orleans,Louisiana,Local dog barking frantically before sighting.,Night,Poltergeist,
2023-09-05,27.970701,-82.335621,Tampa,Florida,Old radio emitted static and a faint melody.,Night,Poltergeist,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_0.png
2020-10-16,28.93952,-81.739751,Orlando,Florida,Electronic devices malfunctioned during sighting.,Night,Orbs,
2024-05-13,27.917933,-82.495809,Tampa,Florida,Local dog barking frantically before sighting.,Morning,Full-Body Apparition,
2024-10-09,30.408107,-91.052835,Baton Rouge,Louisiana,Old radio emitted static and a faint melody.,Dawn,White Lady,
2024-05-25,32.836309,-96.9843,Dallas,Texas,Old radio emitted static and a faint melody.,Midnight,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_1.png
2024-04-25,38.861522,-90.389428,St. Louis,Missouri,Apparition seen floating near old church grounds.,Afternoon,Phantom Sounds,https://cdn.midjourney.com/3e0859e1-71b5-4435-a31c-4a856d9076de/0_3.png
2021-01-14,29.862117,-95.372059,Houston,Texas,Disembodied voice whispered a name.,Evening,Poltergeist,
2025-09-19,40.443087,-89.741156,Peoria,Illinois,Phantom footsteps heard in empty hallway.,Afternoon,Poltergeist,https://cdn.midjourney.com/7f74bbd0-d240-4d74-bb2a-6330b163a3f6/0_3.png
2022-01-19,40.70766,-89.393547,Peoria,Illinois,Witness reported cold spots and flickering lights.,Dawn,Poltergeist,
2022-09-27,39.653817,-86.560612,Indianapolis,Indiana,Apparition matched description of local legend.,Dawn,Orbs,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2023-04-20,28.708592,-80.960594,Orlando,Florida,Witness reported cold spots and flickering lights.,Morning,Headless Spirit,https://cdn.midjourney.com/6c1d34b3-77c9-4475-a67e-5afffc90b88b/0_1.png
2025-07-24,38.491901,-90.109181,St. Louis,Missouri,Old radio emitted static and a faint melody.,Midnight,Full-Body Apparition,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_2.png
2022-06-18,40.726086,-89.698221,Peoria,Illinois,Curtains moved though windows were shut.,Dawn,Headless Spirit,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2024-12-13,29.607443,-95.590475,Houston,Texas,Glowing orb photographed in backyard.,Midnight,Orbs,
2023-06-22,39.585941,-86.134685,Indianapolis,Indiana,Electronic devices malfunctioned during sighting.,Evening,Poltergeist,https://cdn.midjourney.com/8b1e424a-b365-4c8e-9853-603b893d780a/0_1.png
2020-12-09,40.281392,-88.664776,Peoria,Illinois,Temperature dropped suddenly by 10°F.,Night,Poltergeist,
2021-03-04,27.828957,-83.172043,Tampa,Florida,Electronic devices malfunctioned during sighting.,Evening,Headless Spirit,https://cdn.midjourney.com/13275d75-635c-44d1-8170-b1c9a40f70c2/0_1.png
2021-07-29,30.111931,-97.877247,Austin,Texas,Disembodied voice whispered a name.,Afternoon,Headless Spirit,
2023-04-16,39.775274,-86.327479,Indianapolis,Indiana,Apparition matched description of local legend.,Morning,White Lady,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_0.png
2025-02-24,36.694557,-114.912411,Las Vegas,Nevada,Curtains moved though windows were shut.,Night,Full-Body Apparition,
2023-12-09,40.162075,-82.716417,Columbus,Ohio,Temperature dropped suddenly by 10°F.,Afternoon,Orbs,https://cdn.midjourney.com/264110e6-20e4-4b2a-bf2d-cec6478fec84/0_1.png
2025-07-17,27.950227,-82.407761,Tampa,Florida,Phantom footsteps heard in empty hallway.,Dawn,Poltergeist,https://cdn.midjourney.com/2519c7d3-5e9e-4691-8bad-a83ed41a3cb1/0_3.png
